enddate,approval_type,rate,year
2017-03-30,approve,37.608387,2017
2017-03-30,disapprove,58.626013,2017
2017-03-30,approve,39.948636,2017
2017-03-30,disapprove,51.76658,2017
2017-03-31,approve,40.861441,2017
2017-03-31,disapprove,54.539189,2017
2017-03-31,approve,39.948636,2017
2017-03-31,disapprove,52.76658,2017
2017-04-01,approve,48.651563,2017
2017-04-01,disapprove,44.980389,2017
2017-04-02,approve,48.751563,2017
2017-04-02,disapprove,45.880389,2017
2017-04-01,approve,46.686784,2017
2017-04-01,disapprove,50.055805,2017
2017-04-01,approve,38.948636,2017
2017-04-01,disapprove,54.76658,2017
2017-04-01,approve,38.861441,2017
2017-04-01,disapprove,55.539189,2017
2017-04-02,approve,36.608387,2017
2017-04-02,disapprove,59.626013,2017
2017-04-03,approve,41.769187,2017
2017-04-03,disapprove,53.41321,2017
2017-04-03,approve,47.551563,2017
2017-04-03,disapprove,48.080389,2017
2017-04-03,approve,36.750369,2017
2017-04-03,disapprove,55.742388,2017
2017-04-02,approve,37.948636,2017
2017-04-02,disapprove,52.76658,2017
2017-04-03,approve,37.608387,2017
2017-04-03,disapprove,58.626013,2017
2017-04-02,approve,38.861441,2017
2017-04-02,disapprove,55.539189,2017
2017-04-03,approve,38.948636,2017
2017-04-03,disapprove,52.76658,2017
2017-04-04,approve,46.851563,2017
2017-04-04,disapprove,49.280389,2017
2017-04-03,approve,39.861441,2017
2017-04-03,disapprove,53.539189,2017
2017-04-04,approve,40.608387,2017
2017-04-04,disapprove,55.626013,2017
2017-04-04,approve,40.948636,2017
2017-04-04,disapprove,49.76658,2017
2017-04-05,approve,46.351563,2017
2017-04-05,disapprove,49.680389,2017
2017-04-06,approve,39.613321,2017
2017-04-06,disapprove,55.248116,2017
2017-04-04,approve,42.861441,2017
2017-04-04,disapprove,50.539189,2017
2017-04-04,approve,39.948636,2017
2017-04-04,disapprove,50.76658,2017
2017-04-05,approve,42.948636,2017
2017-04-05,disapprove,47.76658,2017
2017-04-06,approve,45.651563,2017
2017-04-06,disapprove,50.180389,2017
2017-04-05,approve,36.914807,2017
2017-04-05,disapprove,59.031268,2017
2017-04-05,approve,40.608387,2017
2017-04-05,disapprove,55.626013,2017
2017-04-05,approve,41.861441,2017
2017-04-05,disapprove,51.539189,2017
2017-04-06,approve,39.608387,2017
2017-04-06,disapprove,56.626013,2017
2017-04-06,approve,39.948636,2017
2017-04-06,disapprove,51.76658,2017
2017-04-06,approve,40.861441,2017
2017-04-06,disapprove,52.539189,2017
2017-04-07,approve,45.551563,2017
2017-04-07,disapprove,48.880389,2017
2017-04-06,approve,38.237814,2017
2017-04-06,disapprove,48.82106,2017
2017-04-07,approve,40.861441,2017
2017-04-07,disapprove,52.539189,2017
2017-04-08,approve,46.751563,2017
2017-04-08,disapprove,47.680389,2017
2017-04-07,approve,38.948636,2017
2017-04-07,disapprove,51.76658,2017
2017-04-08,approve,40.861441,2017
2017-04-08,disapprove,52.539189,2017
2017-04-09,approve,47.851563,2017
2017-04-09,disapprove,46.380389,2017
2017-04-08,approve,38.948636,2017
2017-04-08,disapprove,51.76658,2017
2017-04-09,approve,38.608387,2017
2017-04-09,disapprove,57.626013,2017
2017-04-09,approve,40.861441,2017
2017-04-09,disapprove,51.539189,2017
